time,ask qty,bid qty,bid price,ask price
90001,2436,1506,489000.0,489500.0
90003,2436,1506,489000.0,489500.0
90005,4872,3012,489000.0,489500.0
90009,2521,1406,489000.0,489500.0
90010,2521,1406,489000.0,489500.0
90013,2837,259,489000.0,489500.0
90015,2837,259,489000.0,489500.0
90017,2837,259,489000.0,489500.0
90018,2891,1155,489000.0,489500.0
90019,2891,1155,489000.0,489500.0
90020,5782,2310,489000.0,489500.0
90021,2891,1155,489000.0,489500.0
90026,1856,838,489000.0,489500.0
90027,1856,838,489000.0,489500.0
90028,1856,838,489000.0,489500.0
90029,2,2305,489000.0,489500.0
90032,2,2305,489000.0,489500.0
90039,1724,739,489500.0,490000.0
90040,3448,1478,489500.0,490000.0
90041,1729,440,489500.0,490000.0
90043,1729,440,489500.0,490000.0
90044,1729,440,489500.0,490000.0
90046,1603,308,489500.0,490000.0
90056,1709,1300,489500.0,490000.0
90058,1709,1300,489500.0,490000.0
90059,1709,1300,489500.0,490000.0
90100,1709,1300,489500.0,490000.0
90106,405,1551,490000.0,490500.0
90107,405,1551,490000.0,490500.0
90111,1264,667,490500.0,491000.0
90113,2544,1312,490500.0,491000.0
90115,1021,623,490500.0,491000.0
90120,1868,622,490500.0,491000.0
90121,934,311,490500.0,491000.0
90124,960,1185,490500.0,491000.0
90125,960,1185,490500.0,491000.0
90126,960,1185,490500.0,491000.0
90128,852,2132,490500.0,491000.0
90129,852,2132,490500.0,491000.0
90133,348,1353,491000.0,491500.0
90134,348,1353,491000.0,491500.0
90139,1050,175,491500.0,492000.0
90145,1067,70,491500.0,492000.0
90150,1055,1083,491500.0,492000.0
90152,1036,1112,491500.0,492000.0
90154,2072,2224,491500.0,492000.0
90156,893,101,492000.0,492500.0
90157,2679,303,492000.0,492500.0
90200,1,1464,491500.0,492000.0
90201,1,1464,491500.0,492000.0
90207,1018,2708,491500.0,492000.0
90209,1018,2708,491500.0,492000.0
90210,992,2740,491500.0,492000.0
90213,496,1370,491500.0,492000.0
90216,434,1474,491500.0,492000.0
90217,1302,4422,491500.0,492000.0
90218,880,295,492000.0,492500.0
90220,880,295,492000.0,492500.0
90222,880,295,492000.0,492500.0
90223,880,13,492000.0,492500.0
90225,880,13,492000.0,492500.0
90226,880,13,492000.0,492500.0
90229,66,1406,491500.0,492000.0
90232,2715,48,492000.0,492500.0
90233,905,16,492000.0,492500.0
90235,608,1245,491500.0,492000.0
90237,608,1245,491500.0,492000.0
90241,937,286,492000.0,492500.0
90243,856,308,492000.0,492500.0
90249,1402,517,492000.0,492500.0
90253,1589,533,492000.0,492500.0
90254,1668,539,492000.0,492500.0
90259,1658,1125,492000.0,492500.0
90300,1658,1125,492000.0,492500.0
90302,1756,1116,492000.0,492500.0
90304,3512,2232,492000.0,492500.0
90305,1756,1116,492000.0,492500.0
90307,214,909,492000.0,492500.0
90311,286,1038,492000.0,492500.0
90313,286,1038,492000.0,492500.0
90316,2842,846,492500.0,493000.0
90325,2853,832,492500.0,493000.0
90326,2853,832,492500.0,493000.0
90329,2813,774,492500.0,493000.0
90332,2786,725,492500.0,493000.0
90337,2781,1376,492500.0,493000.0
90341,2796,1378,492500.0,493000.0
90346,2751,1403,492500.0,493000.0
90347,2751,1403,492500.0,493000.0
90352,2629,1495,492500.0,493000.0
90356,2789,1488,492500.0,493000.0
90402,2383,1541,492500.0,493000.0
90403,2383,1541,492500.0,493000.0
90406,4803,3368,492500.0,493000.0
90409,2420,1827,492500.0,493000.0
90411,2381,1878,492500.0,493000.0
90412,2381,1878,492500.0,493000.0
90414,2393,1683,492500.0,493000.0
90415,2393,1683,492500.0,493000.0
90416,2393,1683,492500.0,493000.0
90417,2393,1683,492500.0,493000.0
90418,2243,1223,492500.0,493000.0
90419,2243,1223,492500.0,493000.0
90420,2243,1223,492500.0,493000.0
90426,552,2066,493000.0,493500.0
90429,857,1766,493000.0,493500.0
90434,882,1756,493000.0,493500.0
90435,882,1756,493000.0,493500.0
90436,882,1756,493000.0,493500.0
90438,156,1750,493000.0,493500.0
90439,29,1751,493000.0,493500.0
90445,1488,536,493500.0,494000.0
90449,1491,1770,493500.0,494000.0
90455,1470,1998,493500.0,494000.0
90458,788,1816,493500.0,494000.0
90503,2566,650,494000.0,494500.0
90507,1262,255,494000.0,494500.0
90509,933,1521,494000.0,494500.0
90510,1866,3042,494000.0,494500.0
90517,914,1000,494000.0,494500.0
90519,1323,2007,494000.0,494500.0
90520,409,1007,494000.0,494500.0
90521,818,2014,494000.0,494500.0
90523,451,1135,494000.0,494500.0
90528,592,1311,494000.0,494500.0
90529,592,1311,494000.0,494500.0
90530,592,1311,494000.0,494500.0
90532,2775,169,494500.0,495000.0
90535,2753,124,494500.0,495000.0
