order_number,order_time,symbol,direct,order_qty,order_price,turnover_qty,turnover_price,turnover_amount
0,90304,60000364,1,20,Market,20,891000,1.782e+07
1,90708,60000364,1,20,Market,20,890000,1.78e+07
2,90742,60000364,0,20,Market,20,894000,1.788e+07
3,91151,60000364,0,20,Market,20,894300,1.7886e+07
4,91442,60000364,1,20,Market,20,893000,1.786e+07
5,91605,60000364,0,20,Market,20,896000,1.792e+07
6,91917,60000364,1,20,Market,20,895000,1.79e+07
7,92018,60000364,0,20,Market,20,896000,1.792e+07
8,92319,60000364,1,20,Market,20,892000,1.784e+07
9,92728,60000364,0,20,Market,20,893000,1.786e+07
10,92731,60000364,1,20,Market,20,891000,1.782e+07
11,93138,60000364,1,20,Market,20,889000,1.778e+07
12,93506,60000364,0,20,Market,20,891000,1.782e+07
13,93911,60000364,0,20,Market,20,894000,1.788e+07
14,94208,60000364,1,20,Market,20,892000,1.784e+07
15,94626,60000364,1,20,Market,20,891000,1.782e+07
16,94956,60000364,0,40,Market,40,892000,3.568e+07
17,100039,60000364,1,20,Market,20,890000,1.78e+07
18,100134,60000364,0,20,Market,20,892000,1.784e+07
19,100456,60000364,1,20,Market,20,890000,1.78e+07
20,100800,60000364,0,20,Market,20,892000,1.784e+07
21,101056,60000364,1,20,Market,20,890000,1.78e+07
22,101519,60000364,1,20,Market,20,889000,1.778e+07
23,101622,60000364,0,20,Market,20,890000,1.78e+07
24,101927,60000364,1,20,Market,20,888000,1.776e+07
25,102023,60000364,0,20,Market,20,890000,1.78e+07
26,102435,60000364,0,20,Market,20,890000,1.78e+07
27,102850,60000364,0,20,Market,20,892000,1.784e+07
28,103349,60000364,0,20,Market,20,893000,1.786e+07
29,103438,60000364,1,20,Market,20,891000,1.782e+07
30,103850,60000364,1,20,Market,20,890000,1.78e+07
31,104311,60000364,1,20,Market,20,889000,1.778e+07
32,104443,60000364,0,20,Market,20,891000,1.782e+07
33,104714,60000364,1,20,Market,20,889000,1.778e+07
34,105048,60000364,0,20,Market,20,890000,1.78e+07
35,105247,60000364,1,20,Market,20,888000,1.776e+07
36,105715,60000364,1,20,Market,20,888000,1.776e+07
37,110448,60000364,0,20,Market,20,890000,1.78e+07
38,110529,60000364,1,20,Market,20,888000,1.776e+07
39,110953,60000364,0,40,Market,40,890000,3.56e+07
40,112002,60000364,1,20,Market,20,888000,1.776e+07
41,114132,60000364,1,20,Market,20,887000,1.774e+07
42,114156,60000364,0,20,Market,20,889000,1.778e+07
43,114617,60000364,0,20,Market,20,889000,1.778e+07
44,115643,60000364,0,20,Market,20,890000,1.78e+07
45,120054,60000364,0,20,Market,20,895000,1.79e+07
46,120157,60000364,1,20,Market,20,890000,1.78e+07
47,120626,60000364,1,20,Market,20,890000,1.78e+07
48,121432,60000364,1,20,Market,20,889000,1.778e+07
49,121848,60000364,1,20,Market,20,889000,1.778e+07
50,122014,60000364,0,20,Market,20,892000,1.784e+07
51,122420,60000364,0,20,Market,20,892000,1.784e+07
52,122449,60000364,1,20,Market,20,891000,1.782e+07
53,123005,60000364,1,20,Market,20,890000,1.78e+07
54,123407,60000364,1,20,Market,20,890000,1.78e+07
55,123523,60000364,0,60,Market,60,891000,5.346e+07
56,125331,60000364,1,20,Market,20,890000,1.78e+07
57,125746,60000364,1,20,Market,20,890000,1.78e+07
58,130149,60000364,1,20,Market,20,889000,1.778e+07
59,130628,60000364,1,20,Market,20,888000,1.776e+07
60,131032,60000364,1,20,Market,20,888000,1.776e+07
61,131455,60000364,0,20,Market,20,890000,1.78e+07
62,131802,60000364,1,20,Market,20,888000,1.776e+07
63,132825,60000364,0,20,Market,20,887000,1.774e+07
64,132852,60000364,1,20,Market,20,885000,1.77e+07
65,133349,60000364,0,20,Market,20,887000,1.774e+07
66,133406,60000364,1,20,Market,20,885000,1.77e+07
67,134035,60000364,0,20,Market,20,885000,1.77e+07
68,134038,60000364,1,20,Market,20,885000,1.77e+07
69,134437,60000364,0,20,Market,20,887000,1.774e+07
70,134524,60000364,1,20,Market,20,885000,1.77e+07
71,134844,60000364,0,20,Market,20,888000,1.776e+07
72,135221,60000364,1,20,Market,20,887000,1.774e+07
73,135251,60000364,0,20,Market,20,888000,1.776e+07
74,135631,60000364,1,20,Market,20,887000,1.774e+07
75,135943,60000364,0,20,Market,20,888000,1.776e+07
76,140403,60000364,0,20,Market,20,888000,1.776e+07
77,140809,60000364,0,20,Market,20,889000,1.778e+07
78,140904,60000364,1,20,Market,20,887000,1.774e+07
79,141214,60000364,0,20,Market,20,889000,1.778e+07
80,141621,60000364,0,20,Market,20,892000,1.784e+07
81,141839,60000364,0,20,Market,20,894000,1.788e+07
82,142943,60000364,0,20,Market,20,893000,1.786e+07
83,143326,60000364,1,20,Market,20,893000,1.786e+07
84,143654,60000364,0,20,Market,20,895000,1.79e+07
85,144057,60000364,0,20,Market,20,898000,1.796e+07
86,144220,60000364,1,20,Market,20,895000,1.79e+07
87,144540,60000364,0,20,Market,20,898000,1.796e+07
88,144952,60000364,1,20,Market,0,0,0
